# === Index 0: ポリゴンのデータ ===
# x座標   y座標    色コード
# Rectangle 1
612.921  201.996  0x000000
856.880  163.357  0x000000
895.520  407.316  0x000000
651.561  445.955  0x000000
612.921  201.996  0x000000

# Rectangle 2
991.555  247.023  0x7F7F7F
1237.953  264.252  0x7F7F7F
1220.723  510.651  0x7F7F7F
974.325  493.421  0x7F7F7F
991.555  247.023  0x7F7F7F

# Rectangle 3
330.263  470.036  0xFF0000
575.909  444.217  0xFF0000
601.728  689.864  0xFF0000
356.081  715.683  0xFF0000
330.263  470.036  0xFF0000

# Rectangle 4
559.661  1850.645  0x00FF00
804.257  1816.269  0x00FF00
838.633  2060.866  0x00FF00
594.037  2095.241  0x00FF00
559.661  1850.645  0x00FF00

# Rectangle 5
883.123  981.779  0x00007F
1129.183  960.251  0x00007F
1150.711  1206.312  0x00007F
904.650  1227.839  0x00007F
883.123  981.779  0x00007F

# Rectangle 6
943.961  570.364  0x00007F
1190.622  557.437  0x00007F
1203.549  804.099  0x00007F
956.888  817.026  0x00007F
943.961  570.364  0x00007F

# Rectangle 7
 20.661  174.645  0xFFFF00
265.257  140.269  0xFFFF00
299.633  384.866  0xFFFF00
 55.037  419.241  0xFFFF00
 20.661  174.645  0xFFFF00

# Rectangle 8
114.036  805.263  0xFF7F00
359.683  831.081  0xFF7F00
333.864  1076.728  0xFF7F00
 88.217  1050.909  0xFF7F00
114.036  805.263  0xFF7F00

# Rectangle 9
485.661  1502.645  0xFFFF7F
730.257  1468.269  0xFFFF7F
764.633  1712.866  0xFFFF7F
520.037  1747.241  0xFFFF7F
485.661  1502.645  0xFFFF7F

# Rectangle 10
422.921  2241.996  0x00FF00
666.880  2203.357  0x00FF00
705.520  2447.316  0x00FF00
461.561  2485.955  0x00FF00
422.921  2241.996  0x00FF00

# Rectangle 11
362.645   93.661  0x000000
607.241  128.037  0x000000
572.866  372.633  0x000000
328.269  338.257  0x000000
362.645   93.661  0x000000

# Rectangle 12
194.023  1480.555  0xAA5500
440.421  1463.325  0xAA5500
457.651  1709.723  0xAA5500
211.252  1726.953  0xAA5500
194.023  1480.555  0xAA5500

# Rectangle 13
349.208  2731.937  0x000000
596.057  2740.557  0x000000
587.437  2987.406  0x000000
340.588  2978.786  0x000000
349.208  2731.937  0x000000

# Rectangle 14
922.996  1307.921  0x7F007F
1166.955  1346.561  0x7F007F
1128.316  1590.520  0x7F007F
884.357  1551.880  0x7F007F
922.996  1307.921  0x7F007F

# Rectangle 15
101.442  1850.325  0x7FFF00
346.601  1820.223  0x7FFF00
376.702  2065.382  0x7FFF00
131.543  2095.484  0x7FFF00
101.442  1850.325  0x7FFF00

# Rectangle 16
907.364  1992.961  0x00FF00
1154.026  2005.888  0x00FF00
1141.099  2252.549  0x00FF00
894.437  2239.622  0x00FF00
907.364  1992.961  0x00FF00

# Rectangle 17
 35.921  2151.996  0x00007F
279.880  2113.357  0x00007F
318.520  2357.316  0x00007F
 74.561  2395.955  0x00007F
 35.921  2151.996  0x00007F

# Rectangle 18
661.937  3194.208  0x55AA55
908.786  3185.588  0x55AA55
917.406  3432.437  0x55AA55
670.557  3441.057  0x55AA55
661.937  3194.208  0x55AA55

# Rectangle 19
741.325  2388.442  0xFFFF00
986.484  2418.543  0xFFFF00
956.382  2663.702  0xFFFF00
711.223  2633.601  0xFFFF00
741.325  2388.442  0xFFFF00

# Rectangle 20
 57.996  2497.921  0x7F7F00
301.955  2536.561  0x7F7F00
263.316  2780.520  0x7F7F00
 19.357  2741.880  0x7F7F00
 57.996  2497.921  0x7F7F00

# Rectangle 21
621.950  968.086  0xFFFFFF
868.912  963.775  0xFFFFFF
873.223  1210.738  0xFFFFFF
626.261  1215.049  0xFFFFFF
621.950  968.086  0xFFFFFF

# Rectangle 22
969.779  2916.123  0x00FF00
1215.839  2937.650  0x00FF00
1194.312  3183.711  0x00FF00
948.251  3162.183  0x00FF00
969.779  2916.123  0x00FF00

# Rectangle 23
666.661  635.645  0xFF7F7F
911.257  601.269  0xFF7F7F
945.633  845.866  0xFF7F7F
701.037  880.241  0xFF7F7F
666.661  635.645  0xFF7F7F

# Rectangle 24
980.223  3577.378  0x7FFF7F
1223.470  3534.486  0x7FFF7F
1266.362  3777.734  0x7FFF7F
1023.114  3820.625  0x7FFF7F
980.223  3577.378  0x7FFF7F

# Rectangle 25
168.023  3216.555  0xFFFF00
414.421  3199.325  0xFFFF00
431.651  3445.723  0xFFFF00
185.252  3462.953  0xFFFF00
168.023  3216.555  0xFFFF00


# === Index 1: ラベルのデータ ===
# 図形データとの間は「空行を2行以上」あけてください（これでインデックスが1に切り替わります）
# ラベルを表示したい中心座標(x, y)と、"表示したい文字列" を記述します。
# Tag0以外のタグを並べてラベルとする

# x座標   y座標    ラベル文字列
754.221  304.656  "Tag6"
1106.139  378.837  "Tag5Tag6"
465.995  579.950  "Tag1"
699.147  1955.755  "Tag3"
1016.917  1094.045  "Tag6Tag2"
1073.755  687.231  "Tag2Tag6"
160.147  279.755  "Tag4"
223.950  940.995  "Tag4Tag1"
625.147  1607.755  "Tag4Tag5"
564.221  2344.656  "Tag3"
467.755  233.147  "Tag6"
325.837  1595.139  "Tag6Tag1Tag4"
468.322  2859.671  "Tag6"
1025.656  1449.221  "Tag2Tag1"
239.072  1957.853  "Tag4Tag3"
1024.231  2122.755  "Tag3"
177.221  2254.656  "Tag2Tag6"
789.671  3313.322  "Tag6Tag3Tag5"
848.853  2526.072  "Tag4"
160.656  2639.221  "Tag6Tag4"
747.587  1089.412  "Tag5"
1082.045  3049.917  "Tag3"
806.147  740.755  "Tag1Tag5"
1123.292  3677.556  "Tag3Tag5"
299.837  3331.139  "Tag4"
