交叉率 突然変異率 平均最良評価値 最良評価値分散 平均実行時間 実行時間分散
0.00 0.000 0.000 23653677.856686 2518010280528.211914 0.891433 0.005061
0.00 0.000 0.001 20851829.846458 1848441316849.606445 1.234967 0.011973
0.00 0.000 0.002 18804486.330295 2098437915331.720459 1.186100 0.017320
0.00 0.000 0.005 17475779.908803 1481960169401.762939 1.218000 0.015113
0.00 0.000 0.010 16211788.815160 2423512003049.403320 1.171233 0.017445
0.00 0.000 0.020 15561553.682291 1181287554074.321777 1.236067 0.010506
0.00 0.000 0.050 14821679.781139 1601144485777.125977 1.369300 0.155351
0.00 0.000 0.100 15117367.669967 912096712470.150024 2.388167 0.003511
0.00 0.000 0.200 14520703.891677 1124578150123.035400 2.451433 0.000888
0.00 0.000 0.500 14407254.384898 2021552092935.916504 2.677067 0.001326
0.00 0.000 1.000 13984905.946201 1278790443094.120605 3.047067 0.002286
0.00 0.001 0.000 16779641.135281 1594661082146.972168 2.296933 0.001921
0.00 0.001 0.001 15035482.992973 944102313293.547729 2.289133 0.000840
0.00 0.001 0.002 14332247.407600 1410282250326.387695 2.314267 0.002058
0.00 0.001 0.005 13112398.721549 916530693128.638672 2.314200 0.000921
0.00 0.001 0.010 11843709.240870 879582812410.646118 2.326233 0.000576
0.00 0.001 0.020 11461582.378145 707643075298.739990 2.334900 0.000619
0.00 0.001 0.050 10853367.790431 623376024556.528809 2.357500 0.000606
0.00 0.001 0.100 10571547.278896 605098235897.181152 2.385167 0.000598
0.00 0.001 0.200 10227311.772968 852374786752.925659 2.471133 0.002014
0.00 0.001 0.500 9717042.979717 743584413553.402466 2.695367 0.002261
0.00 0.001 1.000 9416720.680769 388845513803.113342 3.036200 0.002881
0.00 0.002 0.000 15827136.589795 1303751414145.277100 2.312633 0.000799
0.00 0.002 0.001 14508982.084896 1072229314286.973267 2.318167 0.000411
0.00 0.002 0.002 13616440.253408 1392112919782.259521 2.320167 0.000592
0.00 0.002 0.005 12329972.155017 725699529464.529785 2.323867 0.000773
0.00 0.002 0.010 11600410.209156 980726278976.622192 2.325167 0.000962
0.00 0.002 0.020 10836613.639175 566540848823.203857 2.324767 0.000779
0.00 0.002 0.050 10299910.545519 517892941899.695557 2.186567 0.075693
0.00 0.002 0.100 9801096.944103 391382270918.774658 2.611800 0.147535
0.00 0.002 0.200 9823772.769517 272885701990.808533 2.800367 0.059932
0.00 0.002 0.500 9430278.706044 470558457210.881958 2.771533 0.049371
0.00 0.002 1.000 9431459.702793 663410384307.077393 3.161800 0.071375
0.00 0.005 0.000 15509581.356706 1455312738153.196045 2.302833 0.032574
0.00 0.005 0.001 13896697.305939 745205311047.805420 2.316300 0.023542
0.00 0.005 0.002 12951557.984496 941530614971.013672 2.359700 0.057184
0.00 0.005 0.005 11939721.194532 516375667041.197876 2.709500 1.538731
0.00 0.005 0.010 11219661.954569 704926862471.272705 1.587500 0.516940
0.00 0.005 0.020 10778823.862231 553321140165.729004 1.119267 0.008930
0.00 0.005 0.050 10158843.610756 725608759993.471436 1.120500 0.010871
0.00 0.005 0.100 9850596.782267 324567190103.305237 1.111133 0.021194
0.00 0.005 0.200 9467610.209079 528607238414.343811 1.125433 0.006344
0.00 0.005 0.500 9227087.071106 501146797385.140076 1.197900 0.011301
0.00 0.005 1.000 9066541.464960 288867395724.392883 1.627600 0.071827
0.00 0.010 0.000 15464712.231027 1711671564034.281250 2.577767 0.014106
0.00 0.010 0.001 13762631.045885 628100626950.239136 2.503200 0.010178
0.00 0.010 0.002 13202185.277438 1050239911075.333130 2.368433 0.001292
0.00 0.010 0.005 11699732.489520 802910898349.505615 2.149033 0.174360
0.00 0.010 0.010 11526827.590963 1306059307274.596436 1.223000 0.013473
0.00 0.010 0.020 10357541.700424 673847725355.543823 1.275433 0.012461
0.00 0.010 0.050 9949673.685317 435990826091.273804 1.288433 0.014983
0.00 0.010 0.100 9687239.450650 313889855580.134460 1.307567 0.009392
0.00 0.010 0.200 9728370.770669 458163987985.373657 1.308833 0.013085
0.00 0.010 0.500 9250161.361760 279043145241.059204 1.407167 0.019173
0.00 0.010 1.000 8737502.102774 482760998152.838196 3.085533 0.002201
0.00 0.020 0.000 15311557.682250 1049985654659.457520 2.365733 0.000972
0.00 0.020 0.001 13780497.742417 579239329865.910645 2.349100 0.003480
0.00 0.020 0.002 13381415.616944 797969300863.170044 2.374867 0.000588
0.00 0.020 0.005 11655815.389141 747453082669.102661 2.368300 0.000638
0.00 0.020 0.010 10800729.483963 343414178477.509705 2.386233 0.000787
0.00 0.020 0.020 10583509.255652 738824639999.980347 2.377433 0.000256
0.00 0.020 0.050 10044620.096656 291817693190.775818 2.424933 0.002726
0.00 0.020 0.100 9889986.328333 575540075136.323608 2.450600 0.000838
0.00 0.020 0.200 9855781.106465 567478916616.541626 2.524800 0.001051
0.00 0.020 0.500 9188931.520335 367238209906.400452 2.142433 0.465634
0.00 0.020 1.000 9064653.669493 438152937075.948608 1.676367 0.015412
0.00 0.050 0.000 15379176.512267 633368136483.475464 1.286333 0.011285
0.00 0.050 0.001 14064476.317141 1212132759182.306396 1.276900 0.013000
0.00 0.050 0.002 13169573.688006 917902970060.485229 1.293867 0.011175
0.00 0.050 0.005 12296309.771449 495892411816.083923 1.296167 0.006895
0.00 0.050 0.010 11402925.907067 434137011159.345642 1.540900 0.209452
0.00 0.050 0.020 10420298.231606 742679420642.815552 2.414167 0.001800
0.00 0.050 0.050 9996978.076808 567758387659.600342 2.439433 0.006993
0.00 0.050 0.100 9882137.647729 436093209085.273438 2.477200 0.000844
0.00 0.050 0.200 9539876.046667 224474245127.601929 2.572333 0.002130
0.00 0.050 0.500 9472712.163861 670532784294.635132 2.776733 0.001195
