交叉率 突然変異率 平均最良評価値 最良評価値分散 平均実行時間 実行時間分散
0.00 0.000 16248674.605119 1081135227216.150635 0.509433 0.000407
0.00 0.001 8228330.905000 1818923154507.290039 0.514833 0.000790
0.00 0.002 7539474.188571 778269539941.916748 0.519167 0.001127
0.00 0.005 6813636.303571 368679056539.274292 0.510733 0.000415
0.00 0.010 6874449.773452 509933846738.794678 0.520100 0.000612
0.00 0.020 6958150.936667 331634814058.158630 0.529333 0.000733
0.00 0.050 6842198.374405 199745352183.029266 0.531767 0.001034
0.00 0.100 6849291.393810 364791060712.993774 0.530033 0.000239
0.00 0.200 7121027.631905 632921014988.917969 0.569733 0.000637
0.00 0.500 6577736.329405 309120180904.609009 0.650533 0.000840
0.00 1.000 7752691.260357 163031395907.417145 0.762700 0.000909
0.10 0.000 15974536.440595 1980383648665.835693 0.499200 0.000323
0.10 0.001 8371945.642857 1621959839519.780762 0.507800 0.000678
0.10 0.002 7613818.661071 723338684417.296875 0.503000 0.000496
0.10 0.005 7314908.325714 645713235839.529297 0.507700 0.000718
0.10 0.010 6984209.523095 317010467192.757080 0.523267 0.000636
0.10 0.020 6804693.516667 452834246561.065552 0.574833 0.004509
0.10 0.050 6959279.698333 251197433813.359192 0.544800 0.000786
0.10 0.100 6841544.250595 282168378929.499268 0.536833 0.000678
0.10 0.200 6862769.874881 275144094989.511841 0.563100 0.000602
0.10 0.500 6746190.086429 435760928541.965027 0.647200 0.000991
0.10 1.000 7904916.380476 256867231896.994476 0.779033 0.001244
0.20 0.000 15741841.143690 1201858606224.739746 0.521100 0.000994
0.20 0.001 8370920.045833 1492170904937.174072 0.514367 0.000860
0.20 0.002 7854917.281786 1765976321585.436523 0.511500 0.000653
0.20 0.005 6834540.287738 473331408174.240784 1.407633 0.263584
0.20 0.010 6785318.520357 255235144598.902740 1.674700 0.001368
0.20 0.020 7082410.536905 359790288659.644226 1.730367 0.007591
0.20 0.050 6875856.954881 477571511417.716919 1.701700 0.001328
0.20 0.100 6814952.294881 312791071089.187073 1.749700 0.001640
0.20 0.200 6884005.027143 459449778363.932373 1.840400 0.002103
0.20 0.500 6525302.321190 412260503654.718689 2.093133 0.003292
0.20 1.000 7794232.999643 407244192037.935120 2.511567 0.010149
0.30 0.000 15857473.001905 1047381098210.666870 1.649433 0.001764
0.30 0.001 8363726.311429 923503144516.566528 1.655133 0.001472
0.30 0.002 7637413.897619 786107402998.164551 1.659333 0.001378
0.30 0.005 7227892.844286 336936162415.238586 1.660367 0.001635
0.30 0.010 6990677.564405 360800427583.713562 1.660700 0.001260
0.30 0.020 6900462.137857 470011020196.902466 1.677900 0.003267
0.30 0.050 6667639.136071 331071531490.069031 1.716367 0.001939
0.30 0.100 6688849.526548 285721557046.357361 1.771433 0.002480
0.30 0.200 6760164.178690 322926192716.044312 1.865500 0.003388
0.30 0.500 6537568.320952 343325256513.874451 2.092700 0.004180
0.30 1.000 8003277.277619 251369344524.162872 2.516000 0.010378
0.40 0.000 16187582.863214 1341618677876.933594 1.643267 0.001412
0.40 0.001 8212735.962738 1106662521461.256836 1.649600 0.001072
0.40 0.002 7440118.792738 733647160115.130981 1.663733 0.001570
0.40 0.005 6907874.661190 510999462937.931091 1.658733 0.001000
0.40 0.010 6914849.098810 316139408588.423889 1.673400 0.001033
0.40 0.020 7016351.892024 406876839266.620239 1.684567 0.001580
0.40 0.050 6654759.950952 205720620754.910645 1.731667 0.004181
0.40 0.100 6800167.257500 482804156949.674988 1.758733 0.001354
0.40 0.200 6711780.154048 368336980654.044128 1.876833 0.002475
0.40 0.500 6536371.041786 384428254998.044800 2.120667 0.003436
0.40 1.000 7668692.450119 279663940906.574463 2.505700 0.004557
0.50 0.000 16293687.678452 1555482251442.676270 1.679600 0.004544
0.50 0.001 8474326.194643 2068399370841.371338 1.661400 0.001227
0.50 0.002 7509244.714881 910884447464.804688 1.671867 0.002969
0.50 0.005 7003049.513810 374541661647.949341 1.684633 0.003222
0.50 0.010 6913835.139881 391539539888.249146 1.676933 0.001171
0.50 0.020 6872714.941667 402185096329.416138 1.687133 0.001315
0.50 0.050 6917227.197619 438844361872.122437 1.718533 0.001628
0.50 0.100 6694268.632738 385581864179.949158 1.772167 0.001671
0.50 0.200 6798238.560119 332954567436.145447 1.861233 0.002686
0.50 0.500 6598830.965714 325108728325.799255 2.090233 0.003712
0.50 1.000 7802560.747500 345601452147.261292 2.474200 0.003254
0.60 0.000 16069382.861310 1513604016101.649902 1.669800 0.001629
0.60 0.001 8492486.399524 1543398790160.489990 1.663867 0.001217
0.60 0.002 7595495.439167 667639994910.162354 1.671533 0.001114
0.60 0.005 6936323.652500 495450931272.496704 1.670333 0.001442
0.60 0.010 6777770.392143 380353988239.447571 1.681733 0.003340
0.60 0.020 7031142.911786 586887083023.065552 1.699033 0.002843
0.60 0.050 6823393.692857 260908064544.732147 1.730367 0.003832
0.60 0.100 6825360.584643 321593937839.928345 1.782533 0.002370
0.60 0.200 6830510.046429 441592281133.897339 1.855833 0.003790
0.60 0.500 6500503.950000 261134423732.263000 2.097000 0.004058
0.60 1.000 8046780.408095 328639499821.861450 2.514867 0.009579
0.70 0.000 15856174.753929 946132067707.190063 1.670667 0.002007
0.70 0.001 8833195.235476 1591944304863.392090 1.675767 0.001808
0.70 0.002 7417903.275357 925719235277.423584 1.673567 0.001103
0.70 0.005 7029911.897738 548112556461.430847 1.676300 0.002091
0.70 0.010 7054557.045714 338701062106.377502 1.685400 0.001198
0.70 0.020 6904910.538929 403085102063.253235 1.708267 0.001888
0.70 0.050 6962239.102738 515664096467.549927 1.717067 0.001404
0.70 0.100 6800017.339881 393495169412.686218 1.779967 0.002522
0.70 0.200 6800297.684167 225407775965.459869 1.867667 0.002729
0.70 0.500 6581353.979643 176456086802.192200 2.121167 0.002651
