交叉率 突然変異率 平均最良評価値 最良評価値分散 平均実行時間 実行時間分散
0.00 0.000 11848425.292727 344042475880.476624 0.558680 0.001758
0.00 0.001 8833167.962980 409206858230.290405 0.639550 0.011701
0.00 0.002 7946083.694836 338564986619.269592 0.572140 0.001276
0.00 0.005 7019703.405909 230832248247.718445 0.548590 0.000394
0.00 0.010 6599218.817449 206993703934.858215 0.555370 0.000559
0.00 0.020 6405413.541843 206543495277.921844 0.562200 0.000462
0.00 0.050 6243462.053990 159006834288.890167 0.580570 0.000675
0.00 0.100 6184579.149975 184929453872.461548 0.608960 0.000952
0.00 0.200 6129154.321970 162416416755.342529 0.664890 0.002074
0.00 0.500 6030169.468598 121530985268.960190 0.844130 0.010965
0.00 1.000 7648616.589003 134694865303.217422 1.138080 0.037380

0.10 0.000 11906283.756124 446580662307.870728 0.553110 0.000619
0.10 0.001 8812318.747917 595510381854.708496 0.547370 0.000415
0.10 0.002 7916147.162386 438945906838.332520 0.550790 0.000388
0.10 0.005 7021951.481881 219476398828.522034 0.549980 0.000349
0.10 0.010 6686042.649520 291203444967.297974 0.567210 0.001431
0.10 0.020 6409052.666553 218187231473.133911 0.565380 0.000533
0.10 0.050 6113212.042260 173252242973.425507 0.580590 0.000611
0.10 0.100 6243309.388232 179375481539.861786 0.608110 0.000983
0.10 0.200 6071411.402146 177695254224.808228 0.668450 0.002212
0.10 0.500 5941746.481907 132036694568.717987 0.874010 0.020103
0.10 1.000 7595982.849533 146766383548.896271 21.346970 39430.560703

0.20 0.000 11846569.912235 436118823181.846313 0.540400 0.000449
0.20 0.001 8851851.338106 615897449711.012451 0.538780 0.000301
0.20 0.002 7938412.321604 365144428661.948059 0.542210 0.000432
0.20 0.005 6974315.379848 287092325842.214355 0.545680 0.000459
0.20 0.010 6606132.628207 261461907595.135223 0.553540 0.000568
0.20 0.020 6420977.352399 227314156725.475037 0.552390 0.000347
0.20 0.050 6259665.442551 163775255543.905121 0.566990 0.000496
0.20 0.100 6177068.464394 166602554279.269501 0.594870 0.000655
0.20 0.200 6031251.410694 126167564693.185257 0.655160 0.002158
0.20 0.500 5947682.482058 151977594075.906830 0.818520 0.008042
0.20 1.000 7586592.429949 170334036891.280792 1.068790 0.029677

0.30 0.000 11795009.673270 354735474906.193909 0.541760 0.000402
0.30 0.001 8836496.433283 649980056159.518799 0.535660 0.000246
0.30 0.002 8039589.356490 410949702142.295288 0.540910 0.000360
0.30 0.005 7119259.305114 286654294079.399780 0.541450 0.000344
0.30 0.010 6554353.131402 212266088668.304779 0.545100 0.000367
0.30 0.020 6382829.217803 148451987992.619324 0.550110 0.000381
0.30 0.050 6274712.719912 151159198129.935242 0.569850 0.000312
0.30 0.100 6217242.245518 199325289335.193481 0.601490 0.000885
